[-4.96864432 -5.06731968 -3.10435049 -6.07622536],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 3.49929719 -0.46602993 -0.23670599 -1.94888449],[ 5.13020679  2.84088472  0.46814959 -1.79310894],[3.58928507 3.33214942 2.28796708 1.58178359],[-0.30064004  0.11379331 -0.44232554 -1.12558896]
[ 5.02483353  3.32616024  0.87384948 -2.53907981],[-0.9161608  -2.14165556 -3.05851555 -1.99111996],[ 5.39904501  2.69708344  1.62759601 -2.7199507 ],[-0.34814142 -1.03357415 -1.25466504 -5.0473238 ]
[-1.78886319  3.37896872 -0.9784196  -4.36040167],[-1.87600086 -1.09811357 -2.0829161  -2.4527979 ],[-1.15581472 -4.87028056 -5.88317706 -8.27602147],[-0.79131471 -0.74803719 -1.80944775 -1.7848457 ]
[-3.41181465 -3.47159139 -0.67102573 -4.78149507],[0. 0. 0. 0.],[-2.71910696 -3.53120957 -3.54060124 -5.18273744],[ 0.         -0.68091057  0.          0.        ]
[ 3.292512    1.22925594 -1.71424598 -5.2624367 ],[ 3.98803731  3.67690314  1.59001026 -0.15220892],[ 2.47433731 -2.35193664 -4.53174502 -5.23526251],[ 0.         -0.74694701 -0.46079078 -0.48409356]
[ 3.86930031  2.37917795  0.87729681 -4.11778254],[ 1.56907522 -0.5805134  -4.44992285 -6.24815593],[ 0.62404049 -3.45179149 -5.74700068 -8.46144808],[ 0.05746231 -0.93060885 -3.20009814 -1.30761911]
[-1.30925206 -0.29167558 -0.38352881 -4.09223707],[-3.17709429 -3.89382207 -7.38065342 -8.32752691],[-3.44553165 -6.22734079 -5.50848834 -6.23115747],[ 0.          0.         -1.22611435 -1.2255    ]
[-6.38298302 -4.69752905 -0.4769778  -5.41042304],[0. 0. 0. 0.],[-0.69885389 -2.26102501 -0.79360618 -1.54175481],[0. 0. 0. 0.]
[-0.91055783 -3.64106277 -5.10423918 -6.23712683],[-0.50450057  2.7211718   0.08560745 -0.92396408],[-3.17713069 -4.24777956 -5.44011699 -6.56454008],[0. 0. 0. 0.]
[ 1.25001265 -2.27768102 -2.33883069 -6.69223674],[-3.78046212  1.06853325 -4.81584914 -6.79976352],[-3.77213316 -5.45142439 -5.29219407 -5.39581319],[-1.60938464 -0.66772053 -1.266      -1.14      ]
[-3.83677098 -0.2217821  -2.29258999 -6.49344416],[-5.44470276 -3.3281037  -7.66700798 -9.01742472],[-1.20469743 -1.97671976 -1.626      -2.45706   ],[0. 0. 0. 0.]
[-7.00006066 -5.53426992 -0.39289368 -7.12102447],[0. 0. 0. 0.],[ 0.          0.         -0.73729392 -0.6       ],[0. 0. 0. 0.]
[-0.9233593  -1.21913931 -1.20128156 -1.63026964],[-5.19393591 -4.68481696  0.54700454 -2.02647107],[0. 0. 0. 0.],[0. 0. 0. 0.]
