[0. 0. 0. 0.],[144.41989878 137.49547978 171.91032882 147.55452123],[0. 0. 0. 0.],[0. 0. 0. 0.]
[127.68248007 147.11652847 136.41939545 125.20117158],[104.35338735  95.06824582 141.03732305 125.96564954],[0. 0. 0. 0.],[0. 0. 0. 0.]
[112.56426673 133.63649509 143.81223611 124.69662082],[42.21131939 96.14591168 62.97205364 64.84085285],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 49.4134897   84.85825157 129.51510635 107.97678738],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[ 0.          0.         22.95699356  0.        ],[ 47.37752364 129.46643436  81.78364601  49.90554698],[0. 0. 0. 0.]
[136.94554442 164.7287408  137.78917705 125.16774859],[ 0.         24.57195938 11.89833092 11.06426192],[ 92.91798752 112.79841063 124.16902115 146.18540347],[20.35850217 34.31163638  8.08434057  0.        ]
[ 58.38034029 149.72414215 106.54549419 107.27118285],[ 0.         22.6790054   0.          1.06494192],[ 80.47927298 129.76735925 147.46017936  98.00807859],[0.        0.        0.        3.4798029]
[31.26662079 40.96625028 49.84344504 67.72833894],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[34.01919796 67.60350065 24.02351441  9.10607289],[143.76242474 170.95016196 155.63347071 138.39771061],[ 82.82288727 110.69460275 102.52980059 144.33958093],[0. 0. 0. 0.]
[133.83707813 162.72717627 141.77930336 127.17473986],[121.10681027 147.13498219 129.02414847 121.56606653],[ 31.22509986 116.25884698  85.86536898  96.3713178 ],[ 1.11503142e+01  1.23288780e+01  5.33550926e+00 -6.04433631e-03]
[123.4422061  144.91783096 156.38292912 125.75126441],[ 82.2708595  114.91873714  62.50740404  49.00238873],[ 6.43851664 16.00905386 52.45800812 17.53294682],[11.85529067 24.9183817   6.81667182 -0.86445722]
[ 81.06615583 114.22110983 147.30921117 111.30781872],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[65.44157848  0.         36.59319014 25.17522513],[138.71550733 155.69768423 169.04207311 139.3577335 ],[ 62.86332483 132.65846221  57.35695789  73.50726565],[0. 0. 0. 0.]
[121.17828265 152.81023367 120.13971153 104.32929301],[ 64.75686593  96.76618527 132.60916893  84.47413003],[ 2.9314794   9.94330134  9.44512967 21.05040777],[ 0.          0.          0.         -1.02610592]
[ 57.78542753 124.30150372  62.20866394  43.1030595 ],[10.1100825  47.63307632  1.56266089  4.53359087],[ 3.32581537 -0.4        -0.76610858 -0.93412401],[ 0.  0.  0. -2.]
[10.15055629  9.58956755 43.67457425 31.94267774],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[121.66261288 125.34366765 160.07320058 132.77232064],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 75.83783565 122.78216493  78.3428443   57.26307693],[ 4.77955284  4.1697873   9.12324621 63.33789806],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 1.16369684 55.64076226  3.32649224 17.41705467],[3.00952124 0.99929441 0.         0.24261375],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-2.46165861e-03  0.00000000e+00  3.61880473e+01  8.94929494e+00],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[0. 0. 0. 0.],[ 85.185897    52.0975813   51.30135151 131.89100571],[0. 0. 0. 0.]
[0. 0. 0. 0.],[0. 0. 0. 0.],[ 64.89063172  84.78360977 100.23745052 132.4866875 ],[0. 0. 0. 0.]
[0. 0. 0. 0.],[0. 0. 0. 0.],[ 12.77613329  26.38242731 121.65589668  62.06474089],[0. 0. 0. 0.]
