[-27.80899845 -27.78885726 -27.23119613 -27.91769029],[-28.7652471  -28.55779521 -27.84345307 -28.59234603],[-26.33697639 -26.34922368 -26.14668558 -26.85110453],[-30.21573195 -30.516406   -30.55372381 -30.46916294]
[-29.14457383 -29.10829829 -27.91618773 -29.27032561],[0. 0. 0. 0.],[-5.62779426 -2.7968053  -2.99805568 -3.14740638],[-30.34347806 -29.73478211 -30.59928433 -30.32572244]
[-26.96033884 -26.46829541 -27.0474076  -26.97696024],[-25.11212878 -26.81853769 -26.74840113 -27.09757449],[0. 0. 0. 0.],[-21.45483292 -21.66861222 -21.3981146  -21.49946299]
[-27.79195803 -26.98633078 -27.7550488  -27.77394359],[-28.8248942  -28.90874867 -27.21313802 -28.60910136],[0. 0. 0. 0.],[-28.86389468 -28.78820036 -28.57736349 -28.78293341]
[-28.42200618 -28.5972981  -28.70889547 -27.55634611],[-29.62825605 -30.19757619 -30.18501915 -30.15701988],[0. 0. 0. 0.],[-29.82430686 -29.39049126 -29.88374459 -29.91898178]
[-30.19354845 -30.27886284 -30.06842831 -30.22629023],[0. 0. 0. 0.],[0. 0. 0. 0.],[-21.10290355 -21.77474203 -21.06252042 -20.64983772]
[-24.85209674 -24.91089547 -24.95474272 -24.97307235],[-25.05502853 -24.8913775  -24.85346147 -24.89097399],[-24.28779344 -24.29842153 -24.23716129 -23.32939714],[-24.96423784 -24.96321556 -25.04618612 -23.97402467]
[-26.64676555 -26.39103071 -25.00100151 -26.6000129 ],[-28.0843677  -28.1093187  -28.15685424 -28.17435042],[-26.45002186 -26.79641495 -26.42643732 -26.25835228],[-27.44831218 -27.9619606  -27.9523732  -27.93496826]
[-26.20884639 -27.05876214 -26.76934195 -26.87799568],[-29.0996169  -29.49987811 -29.45776957 -29.50434777],[-26.29524766 -27.94274979 -27.8625256  -27.83996965],[-29.70402234 -29.74654915 -28.65958501 -29.77197031]
[-28.11726434 -28.11745023 -27.20044329 -27.93859581],[0. 0. 0. 0.],[-27.14591355 -27.72166432 -27.74714559 -27.79345487],[-28.68936663 -29.78913255 -29.79157405 -29.63776804]
[-25.67296987 -26.90574229 -26.91668212 -27.02585642],[-25.21528544 -25.36413516 -24.51156016 -25.203995  ],[-26.53906794 -26.62828406 -26.54637588 -25.27824283],[-26.69502895 -27.57619323 -27.65766477 -27.52517086]
[-26.90359281 -26.88133208 -26.91412554 -26.50054303],[-25.93079685 -27.74246419 -28.01288713 -27.6608659 ],[-28.99873123 -29.02787395 -29.04212766 -28.52519617],[-29.28314244 -28.36940769 -29.4135288  -29.18543015]
[-27.53520165 -27.38539148 -27.37542505 -26.51814497],[-29.19369754 -29.2911493  -29.14983643 -28.00074469],[-28.60455786 -30.58177159 -30.56651372 -30.44406253],[-30.63088725 -30.57740875 -30.96445529 -29.75287592]
