North,East,West,South
498.23448181152344,541.0047302246094,480.5570068359375,479.08897399902344
476.8703918457031,517.0883941650391,503.0069885253906,487.89295959472656
528.6657104492188,519.1845855712891,504.89527893066406,487.88006591796875
538.3207397460938,505.8248596191406,515.3166046142578,492.6155548095703
540.4539184570312,488.99273681640625,489.3271179199219,505.1338195800781
539.2916107177734,511.38795471191406,499.9044189453125,499.2224884033203
514.2333068847656,521.7757110595703,489.2690124511719,476.87791442871094
507.7845458984375,533.2021026611328,487.2942810058594,490.3081359863281
497.31336975097656,538.9326324462891,482.1867370605469,505.05926513671875
515.001220703125,537.3829193115234,469.1717529296875,504.2985534667969
514.6679077148438,549.9683380126953,510.96209716796875,487.95921325683594
544.2070159912109,548.0431213378906,493.73597717285156,509.3603820800781
548.5254669189453,522.3839874267578,499.3764953613281,508.35108947753906
547.7864074707031,513.8772735595703,499.0037536621094,483.2468566894531
542.4809722900391,521.9397735595703,485.02349853515625,495.0253601074219
511.73876953125,544.3748779296875,492.64967346191406,499.4740295410156
500.5974578857422,534.7290802001953,500.7157440185547,507.85980224609375
495.4463348388672,547.6167449951172,504.95591735839844,493.58497619628906
510.16664123535156,547.6672515869141,490.8218078613281,506.01036071777344
514.9041137695312,547.4097137451172,492.7165985107422,503.59808349609375
551.1008148193359,549.2100372314453,499.8524627685547,510.5001678466797
541.4420776367188,518.8204803466797,491.8197937011719,501.6023712158203
546.7512512207031,520.4738311767578,507.01092529296875,485.39601135253906
486.7175750732422,537.6750793457031,484.05303955078125,491.4210968017578
496.90296936035156,541.0131683349609,503.6989440917969,509.1306610107422
487.5530548095703,548.2880401611328,487.52996826171875,494.71820068359375
523.5655059814453,549.0700073242188,491.9651641845703,508.4122772216797
524.4392852783203,551.6448364257812,470.4588928222656,496.1855163574219
526.193115234375,544.3544921875,509.44410705566406,489.4897766113281
551.2746429443359,549.5136871337891,490.83860778808594,510.0736846923828
550.3615570068359,526.1242523193359,512.7092590332031,507.98350524902344
512.3866424560547,545.5711975097656,519.1018676757812,493.594482421875
503.654296875,546.3044128417969,502.6274719238281,506.2920227050781
