Lane 0,Lane 1,Lane 2,Lane 3
-9.602167175781661,-8.967801303679842,-10.820268417679682,-8.893087427511958
-11.769252807385678,-11.941098663638785,-11.430569167404983,-18.45005205276136
-10.450998984331878,-9.048311608453897,-8.483728258048094,-8.600430736786313
0.0,0.0,0.0,0.0
-4.398990959739492,-6.583752800199522,-5.645957399427509,-8.909591267070903
0.0,0.0,0.0,0.0
-1.868539728490767,-4.335676463000517,-8.736001122897697,-13.710519622450525
-3.63344513433482,-6.816518371953992,-9.911268642871638,-17.088048316183276
-6.991119213561635,-9.301833458585262,-11.878145021987953,-17.23176834481356
-8.706755393546182,-13.927266966717546,-15.69470126725197,-18.866721638879593
-2.4861833608797155,-8.051690313153616,-11.434773058556214,-16.592617194213997
-6.512868421477306,-8.955005898327038,-13.525376281239744,-18.138005424399235
-9.871273590349034,-11.418038248643043,-15.069446186494957,-19.51346406737196
-12.572386636233505,-11.96876647876992,-10.715673226824041,-18.13914492981896
-6.9865757105606185,-9.420832768407568,-12.601118317894692,-16.323943063727533
-9.015376502187326,-11.791447247726923,-14.697164711327595,-19.97501051696257
-11.599296063334435,-13.880799140084036,-17.183568445957235,-21.005986044297956
-14.780038051797927,-15.21780654416474,-12.945376832194658,-18.063793357739453
-7.552863451253417,-7.635591025926379,-7.029622135152439,-8.556383815541794
-9.709245935254817,-10.761667332134774,-14.678408664621703,-19.154912175351292
-10.852429873056781,-10.538150950702276,-11.140977483795385,-17.438575526728957
-11.164912199131999,-11.076811273282814,-11.079398289444699,-11.265071833516597
-3.5708789576295805,-8.143142457667532,-10.60863751808721,-17.651083175638107
-5.04672679010622,-8.19594114238185,-12.577223776360148,-20.446536084280343
-10.004302852924807,-12.323950445347112,-15.038489156097105,-19.93679578194769
-12.685745601783546,-14.056670341757442,-17.806109052102872,-20.91314017428953
-4.2373232737627715,-6.4234531715244,-11.907284753951577,-17.25225325351348
-8.160648547640134,-13.951534277452273,-15.07823807600215,-21.810433554814534
-13.194282980406994,-13.799607360767531,-14.732834599005885,-16.497131470251425
-13.989587045593499,-13.312370577350475,-11.009943005680888,-19.63109007025886
-10.632759074804198,-6.797409991729352,-12.367971277162223,-17.450287029872662
-12.304673059320656,-12.527394054545193,-13.692235398170638,-16.962436555136687
-10.672200151520705,-10.336396331740907,-12.69380329318848,-15.033417770568933
-11.298439595378376,-10.997025723202697,-13.142117015492813,-11.261968460262567
-13.13465081836452,-11.646419885921082,-10.394998969143733,-18.07721972721775
-9.760964551163674,-8.882770551109724,-8.770931152608405,-9.837953145501364
-6.753923344160704,-6.995729823639981,-7.336381068434958,-8.072082911509455
-9.793276295872129,-9.805785924520826,-11.253449843309086,-9.730126985300473
-6.395140786293963,-7.575371622622639,-11.50440296267659,-17.722260814284592
-11.38502868748174,-7.838753930394914,-12.518532253839872,-19.15918830680536
-13.868413385853817,-10.895019584160206,-15.588492580173517,-20.7021680809333
-14.753313658630969,-13.717460284262454,-14.984658637565493,-21.238516274056156
-8.218274612839803,-4.946320860366976,-12.2271773284655,-17.707081410210854
-11.826394577080185,-12.16761861760664,-14.937341890456754,-14.17281903789781
-12.890980157616216,-13.164047031474333,-13.685418839675165,-15.35755822371136
-10.79764120589368,-10.99995922542948,-10.88376533933033,-16.984354705476377
