North;East;West;South;;;;;;
0;0;0;0;;;;;11001011;203
0;0;0;0;;;;;11001100;204
0;0;0;0;;;;;11001101;205
0;0;0;0;;;;;11001110;206
0;0;0;0;;;;;11001111;207
73.90340631;97.32635169;-1.685222719;187.5;;;;;11010000;208
0;0;-0.569746763;97.91831867;;;;;11010001;209
168.4778243;32.31079174;49.23487264;-39.86472039;;;;;11010010;210
0;0;0;0;;;;;11010011;211
191.3957241;-10.95153023;0;0;;;;;11010100;212
0;-0.007994968;99.11274195;49.1867128;;;;;11010101;213
0;-31.25612415;0;0;;;;;11010110;214
0;0;0;0;;;;;11010111;215
36.96633178;0;162.2720089;-50;;;;;11011000;216
0;-18.75030484;0;91.19367705;;;;;11011001;217
0;50;-50;0;;;;;11011010;218
0;0;0;0;;;;;11011011;219
0;0;0;0;;;;;11011100;220
0;0;0;0;;;;;11011101;221
0;0;0;0;;;;;11011110;222
0;0;0;0;;;;;11011111;223
-16.03623136;43.81244409;0;173.0708348;;;;;11100000;224
0;-12.51104988;0;99.80193041;;;;;11100001;225
24.49901014;50;-50;0;;;;;11100010;226
0;0;0;0;;;;;11100011;227
-35.04581074;0;175.7766144;0;;;;;11100100;228
0;0;0;-8.47E-09;;;;;11100101;229
0;0;0;0;;;;;11100110;230
0;0;0;0;;;;;11100111;231
0;0;-25.00213568;0;;;;;11101000;232
75;0;0;-50;;;;;11101001;233
0;0;-50;0;;;;;11101010;234
0;0;0;0;;;;;11101011;235
0;0;0;0;;;;;11101100;236
0;0;0;0;;;;;11101101;237
0;0;0;0;;;;;11101110;238
0;0;0;0;;;;;11101111;239
0;0;0;0;;;;;11110000;240
0;0;0;0;;;;;11110001;241
0;0;0;0;;;;;11110010;242
0;0;0;0;;;;;11110011;243
0;0;0;0;;;;;11110100;244
0;0;0;0;;;;;11110101;245
0;0;0;0;;;;;11110110;246
0;0;0;0;;;;;11110111;247
0;0;0;0;;;;;11111000;248
0;0;0;0;;;;;11111001;249
0;0;0;0;;;;;11111010;250
0;0;0;0;;;;;11111011;251
0;0;0;0;;;;;11111100;252
0;0;0;0;;;;;11111101;253
0;0;0;0;;;;;11111110;254
0;0;0;0;;;;;11111111;255
