[118.51732336 117.31782235 115.6136761  111.93281124],[105.64055961 104.75348595 116.98529783 115.9274242 ],[0. 0. 0. 0.],[0. 0. 0. 0.]
[104.9863381  116.38942547 117.07761615 111.954456  ],[110.43012877 108.99163159 106.40121293 102.14793213],[0. 0. 0. 0.],[0. 0. 0. 0.]
[102.39515703 104.64297444 118.5186226  112.07201026],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[0. 0. 0. 0.],[27.49566285  0.          0.          0.        ],[0. 0. 0. 0.]
[104.61322632 119.81591432 119.44626163 117.12396942],[22.08727665 40.13980064 21.86005528 31.95779039],[113.65963257 118.27353901 118.53216486 116.76021597],[42.37206977 11.72059528 22.45160094 43.5696006 ]
[ 99.08510894 116.20107469 118.89843057 116.88629092],[83.20377765 82.41281716 77.53833376 62.354204  ],[112.02109235 112.16631316 108.51385696 103.89679899],[94.14779549 59.95437787 80.81694415 78.83390392]
[107.62448963 107.7304454  120.84175548 117.17055728],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[66.71030558 63.71195597 41.87767054 52.51135133],[113.51055122 122.59569087 118.99907902 119.21300594],[107.48049744 118.58671739 115.65273557 113.71548799],[10.06581035  0.          0.          0.        ]
[115.67016184 123.75702847 119.2995142  116.96418209],[112.07142529 118.3893479  116.20908667 115.74284644],[105.04443727 114.87579281 114.08507705 112.66637758],[ 82.68130158 102.13391978  51.95436341  94.8167558 ]
[112.6429692  121.57700561 168.98228954 117.63367832],[111.92926344 119.21499684 102.62354804 101.40001128],[112.67226507 109.12450102 102.69188501 100.73239791],[116.06266191 112.84653935 109.57331851 100.71265574]
[113.62828654 112.77924779 127.33962909 117.5457982 ],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[119.67590337 112.43942092 112.14237357 110.79475003],[113.48912918 119.83336647 180.         119.80833855],[115.17006424 117.66635649 102.43436296 102.05577672],[33.48141892 10.03119642 10.00225738 31.37865909]
[120.47493479 122.75668565 118.46841576 109.66538155],[109.82809392 116.87297185 116.67108054 115.27026444],[112.39443861 114.33462964 101.61026235  99.21129742],[106.21547643 100.50884983  96.50886341  81.72507348]
[109.65270788 121.89938425 120.81355133 109.84610556],[109.05253259 117.96670883 105.28963155 101.30068772],[122.11359216 105.28214666  91.25381214  85.86117287],[81.92914629 79.98214252 59.19771034 39.01933809]
[111.88462941 111.58450397 124.59050316 109.85503768],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[116.43234846 113.39548609 121.99145117 119.54453545],[0. 0. 0. 0.],[0. 0. 0. 0.]
[112.9012211  118.65218349 117.71150626 109.76622018],[110.57827158 107.5929792  116.29932797 115.59416138],[0. 0. 0. 0.],[0. 0. 0. 0.]
[102.61922887 118.05167433 119.07501593 109.86081064],[116.44207405 109.14853877 105.52823767 101.44543039],[0. 0. 0. 0.],[0. 0. 0. 0.]
[102.07920517 102.13251124 119.35247536 109.69694275],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[54.5129011  22.44028205 30.3119243  42.47494451],[78.96112062 99.12263135 96.25864333 88.42982638],[0. 0. 0. 0.]
[111.63349675 109.75381173 106.99355261 104.75503854],[70.72290785 77.16046487 75.40289965 78.64192394],[106.24743194 114.8327101  119.81650314 115.92507775],[82.77994942 54.54096346 87.97256417 78.89056229]
[102.38374199 113.06556465 109.72808602 104.98321926],[80.99012612 79.22868152 65.06713811 51.93176603],[108.04854724 115.51888206 112.11518918 104.52941267],[75.5679742  73.72748219 62.60350638 68.43289216]
